Configuracion optima,

delta 1 [m],Theta 1 [rad],delta 2 [m],Theta 2 [rad],Conjugado corto, Conjugado largo, Astigmatismo (spot tan / spot sag)
4.876146885034957e-02,1.857997810409727e-01,4.612991302755395e-02,1.955180268474740e-01,fin,inf,0.000000000000000e+00

epsilon 1 [m],epsilon2 [m]
-2.000000000000000e-03,-2.000000000000000e-03,

 ,epsilon 2 [m],-2.000000000000000e-03,-1.900000000000000e-03,-1.800000000000000e-03,-1.700000000000000e-03,-1.600000000000000e-03,-1.500000000000000e-03,-1.400000000000000e-03,-1.300000000000000e-03,-1.200000000000000e-03,-1.100000000000000e-03,-1.000000000000000e-03,-9.000000000000000e-04,-7.999999999999999e-04,-6.999999999999999e-04,-5.999999999999999e-04,-4.999999999999999e-04,-3.999999999999999e-04,-2.999999999999999e-04,-1.999999999999999e-04,-9.999999999999990e-05,1.112657185557329e-19,1.000000000000001e-04,2.000000000000001e-04,3.000000000000001e-04,4.000000000000001e-04,5.000000000000001e-04,6.000000000000002e-04,7.000000000000002e-04,8.000000000000002e-04,9.000000000000002e-04,1.000000000000000e-03,1.100000000000000e-03,1.200000000000000e-03,1.300000000000000e-03,1.400000000000000e-03,1.500000000000000e-03,1.600000000000000e-03,1.700000000000000e-03,1.800000000000000e-03,1.900000000000000e-03,2.000000000000000e-03,
epsilon 1 [m],
-1.100000000000000e-03, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-1.000000000000000e-03, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-9.000000000000000e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-7.999999999999999e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-6.999999999999999e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-5.999999999999999e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-4.999999999999999e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-3.999999999999999e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-2.999999999999999e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-1.999999999999999e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
-9.999999999999990e-05, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
1.112657185557329e-19, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
1.000000000000001e-04, ,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,0.000000000000000e+00+0.000000000000000e+00i,
